Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 50; Interval: 5; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 39187; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39193; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39196; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39247; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39247; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39244; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39213; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39383; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39339; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39249; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39422; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39202; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39242; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39199; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39249; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39380; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39255; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39198; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39385; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39255; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39246; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39252; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39387; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39195; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39197; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39244; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 39160; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 39251.601562
Standard deviation: 71.108170

Number of blocks: 15
Number of cycles: 57037; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57045; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57093; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 56849; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57089; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 56895; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57035; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 56847; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 56661; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57087; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57088; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 56894; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 56712; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57085; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57090; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 56693; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57086; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57081; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57029; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57079; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57034; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57032; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 56837; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57031; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57079; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57051; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 56931; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57035; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57097; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 57090; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 56989.734375
Standard deviation: 128.106171

Number of blocks: 20
Number of cycles: 74738; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74908; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74692; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74746; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74741; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74728; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74926; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74736; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74740; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74729; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74724; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74934; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74677; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74530; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74737; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74734; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74531; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74918; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74732; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74729; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74740; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74929; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74916; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74742; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74921; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74685; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74687; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74683; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74682; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 74612; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 74750.898438
Standard deviation: 108.279076

Number of blocks: 25
Number of cycles: 92391; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92577; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92565; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92570; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92382; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92504; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92576; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92575; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92396; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92576; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92384; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92349; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92577; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92391; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92578; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92498; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92388; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92557; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92569; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92568; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92575; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92588; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92389; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92385; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92581; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92585; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92394; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 92574; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
