Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 3319796; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319854; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319863; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3320318; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319726; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319866; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319708; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319629; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319725; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319942; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319911; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319825; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319992; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319683; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319612; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319945; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319885; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319802; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319950; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319948; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319816; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319837; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319691; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3320010; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319737; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319923; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319711; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319911; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319941; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3319681; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 3319841.250000
Standard deviation: 141.415680

Number of blocks: 20
Number of cycles: 6376698; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376890; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376670; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376869; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376969; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376650; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376711; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376672; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376960; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376907; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376784; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6377007; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376878; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376774; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376740; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376558; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376807; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6377003; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376591; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376886; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376875; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376855; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6377220; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376653; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376688; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376634; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376898; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6377294; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376756; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6376741; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 6376821.500000
Standard deviation: 168.245209

Number of blocks: 30
Number of cycles: 9419787; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420014; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419717; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419816; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419727; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419668; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419501; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419751; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419884; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419565; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420013; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420231; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419666; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419595; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420158; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419957; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419693; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419707; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419663; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420130; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419809; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419895; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419681; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419833; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420074; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419932; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419767; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420185; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419863; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419853; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 9419838.000000
Standard deviation: 187.229355

Number of blocks: 40
Number of cycles: 12472271; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472299; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472054; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472603; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472206; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472149; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472062; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12471904; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472510; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472409; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472265; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472217; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472550; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472250; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472049; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12471943; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472192; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472448; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472482; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472026; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472055; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472789; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472295; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472160; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472189; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472134; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472435; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472235; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
