Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 14381; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14200; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14379; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14194; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14194; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14194; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14193; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14192; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14200; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14381; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14193; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14194; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14197; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14387; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14196; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14389; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14381; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14438; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14198; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14199; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14196; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14193; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14196; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14242; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14249; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14387; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14192; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14193; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14198; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14197; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 14250.766602
Standard deviation: 85.638260

Number of blocks: 2
Number of cycles: 20975; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21166; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21224; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21167; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 20980; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 20976; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21174; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21214; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21175; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21174; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21218; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21173; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 20782; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21166; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21170; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21168; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21171; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21172; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21167; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21167; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21174; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21161; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21172; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21222; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21168; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 20976; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21217; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 21170; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 20981; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
