Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 3394151; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394423; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394244; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394792; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394746; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394270; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394411; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394550; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394299; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394460; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394442; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394450; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394317; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394330; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394284; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394321; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394393; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394396; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394456; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394458; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394289; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394446; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394391; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394481; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394421; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394387; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394292; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394490; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394518; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394376; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 3394409.250000
Standard deviation: 130.275208

Number of blocks: 20
Number of cycles: 6518715; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519080; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519060; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6518894; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6518937; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6518977; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519100; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519389; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6518891; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519120; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6518849; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519124; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519137; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519055; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519128; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6518833; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519061; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519191; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519098; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519070; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519038; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519087; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6518854; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519116; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6518993; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519020; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6518929; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519276; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6519038; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 6518912; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 6519033.000000
Standard deviation: 136.218933

Number of blocks: 30
Number of cycles: 9629451; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629593; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9630224; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629622; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629776; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9630172; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629992; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9630185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629661; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629840; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629925; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629820; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629774; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629897; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629817; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9630038; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629569; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629835; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629488; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629795; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
