Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 594683; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594649; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594820; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594870; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594868; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594761; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594899; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594898; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594677; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594898; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594839; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594673; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594716; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594641; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594711; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594895; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594662; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594783; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 595195; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594863; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594913; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594863; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594943; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594964; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594939; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594636; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594690; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594884; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594948; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 594895; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 594822.562500
Standard deviation: 126.949524

Number of blocks: 2
Number of cycles: 899518; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899517; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899599; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899516; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899640; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899530; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899533; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899497; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899616; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899533; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899592; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899556; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899534; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899524; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899470; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899503; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899514; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899506; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899565; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899526; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899530; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899528; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899510; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899510; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899495; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899568; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899519; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899576; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899485; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 899324; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 899527.875000
Standard deviation: 53.812317

Number of blocks: 3
Number of cycles: 1211448; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211556; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211453; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211566; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211553; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211471; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211500; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211765; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211521; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211592; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211811; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211537; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211417; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211460; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211520; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211720; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211482; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211460; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211540; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211459; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211588; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211481; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211518; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211472; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211521; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211374; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211265; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211523; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211541; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1211551; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 1211522.250000
Standard deviation: 104.338295

Number of blocks: 4
Number of cycles: 1519309; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519499; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519503; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519519; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519235; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519450; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519488; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519344; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519281; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519247; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519497; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519271; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519362; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519427; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519515; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519528; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519493; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519487; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519487; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
