Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 39156; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39203; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39203; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39214; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39212; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39213; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39067; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39039; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39200; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39210; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39201; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39393; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39208; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39219; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39203; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39254; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39261; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39257; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39211; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39254; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39257; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39211; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39254; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39252; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39212; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39208; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39212; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39201; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 39206; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 39213.265625
Standard deviation: 58.002258

Number of blocks: 20
Number of cycles: 74748; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 74748; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 74939; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 74760; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 74700; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 74930; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
