Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 14186; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14373; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14191; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14190; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14181; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14192; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14188; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14191; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14189; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14430; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14187; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14186; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14190; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14373; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14242; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14241; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14376; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14187; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14184; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14190; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14189; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14242; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 14191; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
