Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 0; End: 9; Interval: 1; Number of blocks: 10; Number of affected blocks: 1; Measurements per faulty block: 30

Faulty block index: 0
Number of cycles: 3394195; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394315; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394449; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394454; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394813; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394424; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394348; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394474; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394356; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394209; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394266; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394422; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394510; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394486; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394488; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394269; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394523; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394327; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394567; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394486; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394515; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394564; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394488; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394348; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394484; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394478; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394605; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394586; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394444; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394582; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 3394449.250000
Standard deviation: 128.291641

Faulty block index: 1
Number of cycles: 3394208; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394443; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394670; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394441; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394723; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394520; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394488; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394620; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394427; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394804; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394441; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394270; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394476; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394405; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394228; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394271; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394496; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394804; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394329; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394264; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394344; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394431; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394159; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394334; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394521; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394742; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394037; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394424; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394392; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394457; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 3394439.250000
Standard deviation: 183.206207

Faulty block index: 2
Number of cycles: 3393506; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3393761; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394027; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3393562; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3393709; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3393639; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394036; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3394322; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
