Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 0; End: 9; Interval: 1; Number of blocks: 10; Number of affected blocks: 1; Measurements per faulty block: 30

Faulty block index: 0
Number of cycles: 47803; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47848; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47849; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47854; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47848; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47851; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47835; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47855; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47810; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47722; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 48184; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47812; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47853; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47776; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47803; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47807; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47830; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47796; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47850; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47859; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47811; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47754; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47852; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47803; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47795; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47810; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47810; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47805; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47853; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47838; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 47832.535156
Standard deviation: 72.711632

Faulty block index: 1
Number of cycles: 47806; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47849; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47853; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47830; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47752; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47815; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47808; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 47796; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
