Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 0; End: 9; Interval: 1; Number of blocks: 10; Number of affected blocks: 1; Measurements per faulty block: 30

Faulty block index: 0
Number of cycles: 3357612; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357524; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357762; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357761; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357781; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357946; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357776; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357820; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357791; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357648; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357815; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357655; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357680; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357772; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357665; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357982; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357676; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357878; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357700; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357815; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3358122; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357840; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357671; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357685; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357621; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3358053; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357515; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357812; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357796; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357470; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 3357754.750000
Standard deviation: 146.057632

Faulty block index: 1
Number of cycles: 3357553; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3358024; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357865; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357624; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357700; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357713; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357767; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357656; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357648; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
