Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf
Start: 1; End: 10; Interval: 1; Affected blocks: 0; Measurements per block: 30

Number of blocks: 1
Number of cycles: 16719; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16714; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16717; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16903; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16909; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16957; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16717; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16717; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16715; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16717; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16960; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16907; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16912; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16717; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16906; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16909; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16965; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16717; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16958; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16959; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16719; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16726; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16905; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16719; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16765; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16722; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16723; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16910; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16905; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 16906; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 16823.166016
Standard deviation: 103.433739

Number of blocks: 2
Number of cycles: 24853; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 24857; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 24862; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 24865; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 24855; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 24854; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 24902; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 24859; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 24913; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
