Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 590791; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590810; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590685; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590714; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590723; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590987; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590727; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590983; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590743; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590755; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590769; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590705; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590753; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590733; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590968; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590986; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590746; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590733; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590693; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590754; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590709; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590709; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590679; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590715; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590956; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590709; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590697; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590744; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590929; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 590688; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 590776.375000
Standard deviation: 100.594803

Number of blocks: 2
Number of cycles: 891931; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891967; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891976; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 892139; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891967; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891947; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 892113; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891999; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891939; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 892111; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 892011; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891924; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 892142; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891975; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891971; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891912; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891938; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891917; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891934; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 892173; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 892151; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891904; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891927; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891887; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891926; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891950; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891919; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 892155; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 891971; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 892102; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 891996.062500
Standard deviation: 89.101494

Number of blocks: 3
Number of cycles: 1192291; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192400; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192197; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192240; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192134; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192200; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192584; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192357; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192170; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192148; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192340; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192449; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192170; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192198; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192211; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192223; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192134; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192374; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192178; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192414; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192183; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192335; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192362; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192339; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192337; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192145; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192338; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192266; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192191; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1192331; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 1192274.625000
Standard deviation: 108.540749

Number of blocks: 4
Number of cycles: 1508106; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508219; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1507917; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508191; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508224; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508278; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508040; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1507975; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508235; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508124; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508188; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508253; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508193; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508251; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1507979; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508286; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508029; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508292; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508210; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508254; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1507997; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508148; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1507976; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508183; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508097; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508265; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508232; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508223; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508003; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1508042; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 1508147.250000
Standard deviation: 111.367844

Number of blocks: 5
Number of cycles: 1814061; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1814054; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1814266; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1814146; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1814213; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1814403; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1814098; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1814134; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1814020; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
