Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 605237; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605353; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605336; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605387; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605391; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605409; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605354; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605179; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605231; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605331; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605379; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605197; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605181; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605190; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605194; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605395; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605228; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605183; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605181; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605217; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605372; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605230; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605210; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605164; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605261; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605212; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605399; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605182; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605179; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 605264.937500
Standard deviation: 86.208015

Number of blocks: 2
Number of cycles: 913369; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913436; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913790; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913440; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913558; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913412; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913379; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913407; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913421; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913437; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913353; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913391; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913419; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913437; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913371; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913419; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913591; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913386; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913420; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913361; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913376; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913432; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913590; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913405; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913404; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913437; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913412; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913490; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913386; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 913555; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 913442.812500
Standard deviation: 90.148895

Number of blocks: 3
Number of cycles: 1220589; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220449; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220623; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220680; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220403; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220569; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220558; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220638; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
