Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 7861; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7861; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7676; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7861; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7866; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7916; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7867; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7676; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7866; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7676; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7676; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7861; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7859; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7676; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7861; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7676; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7862; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7676; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7862; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7863; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7861; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7864; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7676; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7861; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7859; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7862; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7863; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7863; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7861; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7676; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 7808.133301
Standard deviation: 87.048164

Number of blocks: 2
Number of cycles: 10067; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 9884; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10063; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 9880; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10071; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10068; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10066; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10066; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10071; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10070; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10070; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10070; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10121; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10068; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 9880; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10067; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10070; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10070; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10066; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10119; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 10051.900391
Standard deviation: 58.407970

Number of blocks: 3
Number of cycles: 12273; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12270; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12273; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12273; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12274; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12270; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12320; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12326; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12275; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12271; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12320; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12320; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12275; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12324; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12325; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12271; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12274; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12318; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12275; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12270; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12271; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 12269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 12282.966797
Standard deviation: 21.589321

Number of blocks: 4
Number of cycles: 14478; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14655; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14479; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14473; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14473; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14713; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14473; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14477; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14473; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14474; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14475; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14474; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14478; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14473; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14473; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14478; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14474; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14473; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14657; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14474; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14525; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14478; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14473; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14470; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14473; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14714; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14479; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14472; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14660; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 14474; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 14510.500000
Standard deviation: 77.104584

Number of blocks: 5
Number of cycles: 16728; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16681; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16866; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16679; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16869; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16863; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16677; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16682; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16682; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16863; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16864; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16871; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16677; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16677; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16677; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16867; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16681; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16683; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16864; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16677; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16678; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16728; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16913; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16870; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16865; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16919; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16864; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16677; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16861; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 16867; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 16779.000000
Standard deviation: 94.944550

Number of blocks: 6
Number of cycles: 19117; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 18884; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19072; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
