Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 596900; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596794; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596826; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596853; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596782; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596855; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596825; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596862; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596809; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596822; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596839; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596835; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596785; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596873; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596821; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596803; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596910; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596850; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596830; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596830; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596827; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596842; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596837; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596898; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596881; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596823; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596802; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596903; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 596839; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
