Loading section .text, size 0xe2e4 lma 0x80000
Loading section .ARM.exidx, size 0x8 lma 0x8e2e4
Loading section .relocate, size 0xa80 lma 0x8e2ec
Start address 0x000831e4, load size 60780
Transfer rate: 10 KB/sec, 10130 bytes/write.
Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 605929; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605928; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605949; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606079; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605937; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605996; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605957; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606140; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605972; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606171; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606220; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605948; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606176; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606131; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606157; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606212; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606126; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606156; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606145; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606106; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606106; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606117; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605945; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605937; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606132; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605965; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605981; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 606189; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605963; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 605949; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 606057.312500
Standard deviation: 101.317032

Number of blocks: 2
Number of cycles: 914186; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914219; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914352; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914153; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914167; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914109; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914122; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914170; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914280; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914142; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914074; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914210; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914108; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914159; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914129; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914365; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914361; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914323; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914151; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914160; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 914124; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
