Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 70249; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70501; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70205; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70216; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70268; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70475; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70208; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70541; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70211; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70213; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70205; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70224; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70206; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70220; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70217; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 69973; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70022; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70018; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70212; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70226; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70240; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70215; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70211; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70286; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70168; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70207; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70379; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70030; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70213; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70207; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 70225.531250
Standard deviation: 123.917374

Number of blocks: 20
Number of cycles: 140400; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139807; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 140050; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139758; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139729; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139714; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 140191; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139764; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139956; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139764; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 140014; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139939; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 140328; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139900; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139752; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139935; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139724; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139903; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 140435; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139969; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 140270; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 140256; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139722; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139982; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 140084; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139909; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139898; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139970; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 140185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 139790; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 139969.937500
Standard deviation: 209.781616

Number of blocks: 30
Number of cycles: 203557; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203732; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203358; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203532; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203183; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203230; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203451; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203208; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203725; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203193; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203392; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203200; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203326; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203208; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203330; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203317; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203498; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203425; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203184; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203409; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203239; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203420; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203707; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203181; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203183; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203389; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203193; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203180; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203199; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203631; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 203359.328125
Standard deviation: 175.146286

Number of blocks: 40
Number of cycles: 273112; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273562; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273403; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273085; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273264; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272754; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272850; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273021; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273308; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273077; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273253; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273059; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273563; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272975; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273116; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273220; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273372; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272713; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273148; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273582; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273403; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273092; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273126; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273000; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273179; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273013; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273307; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273136; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272685; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272895; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 273142.437500
Standard deviation: 231.921387

Number of blocks: 50
Number of cycles: 343313; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342831; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342678; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
