Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 0; End: 9; Interval: 1; Number of blocks: 10; Number of affected blocks: 1; Measurements per faulty block: 30

Faulty block index: 0
Number of cycles: 3416208; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416166; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416434; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415990; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416058; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415950; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416203; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415978; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416200; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416214; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416174; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416236; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416297; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416074; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415996; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415989; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416025; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416275; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416144; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415977; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415902; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416216; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416326; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416022; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416189; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416568; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416102; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416058; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415861; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416158; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 3416133.500000
Standard deviation: 154.778717

Faulty block index: 1
Number of cycles: 3416309; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416180; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416233; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416043; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416035; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416069; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416166; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416180; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416186; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416215; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416020; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416055; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416208; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416007; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415987; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416180; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416208; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416212; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416068; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415990; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416074; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416152; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416157; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416158; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415942; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416163; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415946; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3416474; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415960; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415995; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 3416119.000000
Standard deviation: 117.623413

Faulty block index: 2
Number of cycles: 3415515; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415699; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415285; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415282; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415354; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415197; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415370; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415435; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415306; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415511; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415438; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415355; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415200; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415402; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415171; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415457; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415110; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415435; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415438; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415484; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415313; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415433; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415395; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415376; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415382; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415321; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415204; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415118; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415499; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415044; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 3415351.000000
Standard deviation: 139.945587

Faulty block index: 3
Number of cycles: 3415307; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415254; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415300; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415447; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415226; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415405; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415231; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415485; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415412; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415448; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415413; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415508; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415462; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415405; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415437; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415733; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415449; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415124; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415093; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415154; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 3415421; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
