Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 0; End: 9; Interval: 1; Number of blocks: 10; Number of affected blocks: 1; Measurements per faulty block: 30

Faulty block index: 0
Number of cycles: 19529; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19538; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19340; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19343; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19569; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19531; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19536; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19569; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19577; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19534; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19384; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19529; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19534; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19344; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19527; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19342; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19344; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19342; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19387; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19337; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19380; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19527; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19576; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19343; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19842; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19533; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19574; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19340; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19529; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19528; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 19476.933594
Standard deviation: 116.313354

Faulty block index: 1
Number of cycles: 20709; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20948; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20894; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20900; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20898; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 21118; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20900; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20715; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 21041; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20944; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20713; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20708; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20711; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20903; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20905; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20944; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20904; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20938; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20941; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20899; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20753; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20714; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20908; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20713; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20901; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20900; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20944; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20907; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20716; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 20935; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 20867.466797
Standard deviation: 108.260399

Faulty block index: 2
Number of cycles: 22269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22268; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22270; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22481; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22276; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22275; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22282; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22274; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22275; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22273; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22270; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22273; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22270; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22565; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22316; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22271; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22311; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22277; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22275; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22502; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22271; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22313; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22273; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22274; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22275; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22267; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22084; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22279; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 22294.900391
Standard deviation: 83.166245

Faulty block index: 3
Number of cycles: 23636; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23637; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23637; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23638; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23446; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23634; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23626; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23634; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23636; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23633; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23627; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23634; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
