Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Number of blocks: 10; Measurements per number of affected blocks: 30

Number of affected blocks: 1
Number of cycles: 3410228; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410230; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410422; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410443; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410210; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410323; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410578; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410400; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410419; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410530; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410238; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410078; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410467; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410459; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410339; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410367; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410486; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410527; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410530; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410558; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410458; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410271; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410242; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410212; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410544; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410248; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410327; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410486; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410238; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410505; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 3410379.250000
Standard deviation: 131.721466

Number of affected blocks: 2
Number of cycles: 3411263; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410947; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411021; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411169; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411280; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411085; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411061; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411154; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411052; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410893; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411121; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411035; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411160; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410948; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411002; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411276; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411266; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411165; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411148; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411192; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411737; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411126; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410997; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410991; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411004; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411599; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411054; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410935; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411032; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411030; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 3411125.000000
