Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 123079914; hash_key found?: 1
Number of cycles: 123079241; hash_key found?: 1
Number of cycles: 123078289; hash_key found?: 1
Number of cycles: 123078508; hash_key found?: 1
Number of cycles: 123078952; hash_key found?: 1
Number of cycles: 123078905; hash_key found?: 1
Number of cycles: 123079712; hash_key found?: 1
Number of cycles: 123079717; hash_key found?: 1
Number of cycles: 123079127; hash_key found?: 1
Number of cycles: 123078444; hash_key found?: 1
Number of cycles: 123079200; hash_key found?: 1
Number of cycles: 123078771; hash_key found?: 1
Number of cycles: 123079682; hash_key found?: 1
Number of cycles: 123078333; hash_key found?: 1
Number of cycles: 123078825; hash_key found?: 1
Number of cycles: 123078450; hash_key found?: 1
Number of cycles: 123079471; hash_key found?: 1
Number of cycles: 123079375; hash_key found?: 1
Number of cycles: 123077544; hash_key found?: 1
Number of cycles: 123079456; hash_key found?: 1
Number of cycles: 123078397; hash_key found?: 1
Number of cycles: 123078492; hash_key found?: 1
Number of cycles: 123079832; hash_key found?: 1
Number of cycles: 123079505; hash_key found?: 1
Number of cycles: 123079446; hash_key found?: 1
Number of cycles: 123078517; hash_key found?: 1
Number of cycles: 123078344; hash_key found?: 1
Number of cycles: 123079479; hash_key found?: 1
Number of cycles: 123079378; hash_key found?: 1
Number of cycles: 123079264; hash_key found?: 1
Average: 123079008.000000
Standard deviation: 573.671204

Number of blocks: 2
Number of cycles: 192316955; hash_key found?: 1
Number of cycles: 192315858; hash_key found?: 1
Number of cycles: 192316031; hash_key found?: 1
Number of cycles: 192316955; hash_key found?: 1
Number of cycles: 192316112; hash_key found?: 1
Number of cycles: 192316908; hash_key found?: 1
Number of cycles: 192315797; hash_key found?: 1
Number of cycles: 192317167; hash_key found?: 1
Number of cycles: 192315216; hash_key found?: 1
Number of cycles: 192316348; hash_key found?: 1
Number of cycles: 192316705; hash_key found?: 1
Number of cycles: 192316391; hash_key found?: 1
Number of cycles: 192316228; hash_key found?: 1
Number of cycles: 192316245; hash_key found?: 1
Number of cycles: 192315808; hash_key found?: 1
Number of cycles: 192316525; hash_key found?: 1
Number of cycles: 192316843; hash_key found?: 1
Number of cycles: 192315876; hash_key found?: 1
Number of cycles: 192316802; hash_key found?: 1
Number of cycles: 192316590; hash_key found?: 1
Number of cycles: 192316186; hash_key found?: 1
Number of cycles: 192316394; hash_key found?: 1
Number of cycles: 192315609; hash_key found?: 1
Number of cycles: 192315854; hash_key found?: 1
Number of cycles: 192315805; hash_key found?: 1
Number of cycles: 192315961; hash_key found?: 1
Number of cycles: 192316344; hash_key found?: 1
Number of cycles: 192317189; hash_key found?: 1
Number of cycles: 192316086; hash_key found?: 1
Number of cycles: 192316012; hash_key found?: 1
Average: 192316272.000000
Standard deviation: 482.977448

Number of blocks: 3
Number of cycles: 261422466; hash_key found?: 1
Number of cycles: 261424088; hash_key found?: 1
Number of cycles: 261423558; hash_key found?: 1
Number of cycles: 261423476; hash_key found?: 1
Number of cycles: 261423483; hash_key found?: 1
Number of cycles: 261423311; hash_key found?: 1
Number of cycles: 261423033; hash_key found?: 1
Number of cycles: 261423458; hash_key found?: 1
Number of cycles: 261423246; hash_key found?: 1
Number of cycles: 261423364; hash_key found?: 1
Number of cycles: 261423361; hash_key found?: 1
Number of cycles: 261424084; hash_key found?: 1
Number of cycles: 261422917; hash_key found?: 1
Number of cycles: 261424034; hash_key found?: 1
Number of cycles: 261424142; hash_key found?: 1
Number of cycles: 261424407; hash_key found?: 1
Number of cycles: 261421905; hash_key found?: 1
Number of cycles: 261423180; hash_key found?: 1
Number of cycles: 261423793; hash_key found?: 1
Number of cycles: 261423623; hash_key found?: 1
Number of cycles: 261424692; hash_key found?: 1
Number of cycles: 261423573; hash_key found?: 1
Number of cycles: 261422697; hash_key found?: 1
Number of cycles: 261423688; hash_key found?: 1
Number of cycles: 261424893; hash_key found?: 1
Number of cycles: 261423337; hash_key found?: 1
Number of cycles: 261423671; hash_key found?: 1
Number of cycles: 261423712; hash_key found?: 1
Number of cycles: 261423359; hash_key found?: 1
Number of cycles: 261425498; hash_key found?: 1
Average: 261423568.000000
Standard deviation: 697.815247

Number of blocks: 4
Number of cycles: 330551889; hash_key found?: 1
Number of cycles: 330551745; hash_key found?: 1
Number of cycles: 330551792; hash_key found?: 1
Number of cycles: 330551873; hash_key found?: 1
Number of cycles: 330552291; hash_key found?: 1
Number of cycles: 330551921; hash_key found?: 1
