Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 50; Interval: 5; Affected blocks: 0; Measurements per block: 30

Number of blocks: 10
Number of cycles: 89455; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89643; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89650; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89457; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89641; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89642; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89460; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89458; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89622; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89648; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89472; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 90300; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89630; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89641; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89452; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89454; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89455; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89469; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89456; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89456; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89408; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89454; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89406; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89641; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89457; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89447; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89645; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89452; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89458; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 89643; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 89549.070312
Standard deviation: 166.646713

