Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 70262; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70220; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70497; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 69991; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70028; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70711; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70175; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70307; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70247; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70358; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70216; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70327; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70167; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70598; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70368; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70217; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70164; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70259; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70221; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70177; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70217; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70187; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70227; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70038; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70216; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70364; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70289; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70028; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 70356; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
