Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 19345; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19572; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19380; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19338; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19340; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19575; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19534; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19573; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19530; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19573; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19535; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19344; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19534; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19581; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19339; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19575; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19534; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19570; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19340; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19527; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19574; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19345; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19385; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19381; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19381; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19530; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19530; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19534; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19570; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 19574; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 19481.433594
Standard deviation: 97.474670

Number of blocks: 20
Number of cycles: 36961; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36999; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 37002; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 37159; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36962; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36958; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36956; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 37008; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36956; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36965; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36957; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 37003; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36961; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 37009; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 37150; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36968; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36955; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36956; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 37004; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36964; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36955; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 37121; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36958; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36947; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 37005; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36963; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36968; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 37197; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36987; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 36971; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 36997.500000
Standard deviation: 66.010475

Number of blocks: 30
Number of cycles: 53075; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53116; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52919; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52881; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52922; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53112; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52916; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53108; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53113; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52880; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52926; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52879; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53116; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53113; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53071; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52885; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52881; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52886; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52921; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52886; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53075; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53075; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52881; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52928; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53108; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53112; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52915; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53273; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 53067; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 52884; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 52997.464844
Standard deviation: 111.000221

Number of blocks: 40
Number of cycles: 70723; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70551; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70311; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70542; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70351; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70539; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70539; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70496; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70504; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70551; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70537; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70500; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70492; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70540; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70538; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70353; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70537; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70529; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70542; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70538; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70543; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70541; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70542; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70538; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70520; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70534; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70553; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70548; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70537; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 70537; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 70520.203125
Standard deviation: 71.437355

Number of blocks: 50
Number of cycles: 88152; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87971; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87971; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88151; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88168; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87960; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87971; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87980; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87973; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87980; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87970; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87972; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88161; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88162; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88157; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87974; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88155; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88169; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87967; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88163; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87953; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87976; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87972; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88166; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87971; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88160; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88160; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88171; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 88167; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 87981; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 88060.132812
Standard deviation: 95.109665

Number of blocks: 60
Number of cycles: 104083; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 103884; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 104117; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 104087; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 103891; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 103888; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 104086; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 103891; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 104127; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 103885; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 104092; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 103895; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 104073; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 103898; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 104062; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 103898; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 103894; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 104067; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 104084; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 103881; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
