Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Number of blocks: 10; Measurements per number of affected blocks: 30

Number of affected blocks: 1
Number of cycles: 89311; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89257; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89256; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89315; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89323; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89502; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89318; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89502; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89491; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89319; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89319; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89316; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89316; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89498; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89505; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89495; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89322; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89270; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89318; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89496; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89498; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89315; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89299; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89509; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89309; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89310; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89263; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89481; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89506; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89311; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 89375.000000
Standard deviation: 95.727737

Number of affected blocks: 2
Number of cycles: 89316; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89328; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89494; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89505; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89507; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89319; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
