Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf
Start: 1; End: 10; Interval: 1; Number of blocks: 10; Measurements per number of affected blocks: 30

Number of affected blocks: 1
Number of cycles: 27948; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27890; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27892; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27897; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27890; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27940; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27892; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27887; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27892; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 28083; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 28127; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 28084; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27943; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 28079; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 28132; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27940; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27892; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27939; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 28135; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27887; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27893; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27893; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27885; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 28124; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 27889; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 28076; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
