Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 50

Number of blocks: 1
Number of cycles: 40787555; error? 1
Number of cycles: 40787590; error? 1
Number of cycles: 40787586; error? 1
Number of cycles: 40788581; error? 1
Number of cycles: 40788324; error? 1
Number of cycles: 40787840; error? 1
Number of cycles: 40788097; error? 1
Number of cycles: 40787712; error? 1
Number of cycles: 40787730; error? 1
Number of cycles: 40788099; error? 1
Number of cycles: 40788447; error? 1
Number of cycles: 40788021; error? 1
Number of cycles: 40788044; error? 1
Number of cycles: 40787994; error? 1
Number of cycles: 40787835; error? 1
Number of cycles: 40788319; error? 1
Number of cycles: 40787804; error? 1
Number of cycles: 40788025; error? 1
Number of cycles: 40788094; error? 1
Number of cycles: 40787811; error? 1
Number of cycles: 40787624; error? 1
Number of cycles: 40787189; error? 1
Number of cycles: 40787615; error? 1
Number of cycles: 40788189; error? 1
Number of cycles: 40788146; error? 1
Number of cycles: 40788347; error? 1
Number of cycles: 40788222; error? 1
Number of cycles: 40787675; error? 1
Number of cycles: 40787701; error? 1
Number of cycles: 40788118; error? 1
Number of cycles: 40787946; error? 1
Number of cycles: 40788196; error? 1
Number of cycles: 40788209; error? 1
Number of cycles: 40788239; error? 1
Number of cycles: 40788210; error? 1
Number of cycles: 40787899; error? 1
Number of cycles: 40787960; error? 1
Number of cycles: 40787942; error? 1
Number of cycles: 40787980; error? 1
Number of cycles: 40788348; error? 1
Number of cycles: 40788052; error? 1
Number of cycles: 40787854; error? 1
Number of cycles: 40788127; error? 1
Number of cycles: 40788070; error? 1
Number of cycles: 40788237; error? 1
Number of cycles: 40787889; error? 1
Number of cycles: 40788038; error? 1
Number of cycles: 40787624; error? 1
Number of cycles: 40788662; error? 1
Number of cycles: 40787872; error? 1
Average: 40787992.000000
Standard deviation: 283.351379

Number of blocks: 2
Number of cycles: 41842871; error? 1
Number of cycles: 41842714; error? 1
Number of cycles: 41842769; error? 1
Number of cycles: 41842401; error? 1
Number of cycles: 41842932; error? 1
Number of cycles: 41842477; error? 1
Number of cycles: 41843129; error? 1
Number of cycles: 41842401; error? 1
Number of cycles: 41843183; error? 1
Number of cycles: 41842948; error? 1
Number of cycles: 41842838; error? 1
Number of cycles: 41842785; error? 1
Number of cycles: 41842629; error? 1
Number of cycles: 41843056; error? 1
Number of cycles: 41842904; error? 1
Number of cycles: 41842634; error? 1
Number of cycles: 41842669; error? 1
Number of cycles: 41843108; error? 1
Number of cycles: 41842733; error? 1
Number of cycles: 41842672; error? 1
Number of cycles: 41842762; error? 1
Number of cycles: 41842319; error? 1
Number of cycles: 41842880; error? 1
Number of cycles: 41842960; error? 1
Number of cycles: 41842504; error? 1
Number of cycles: 41842857; error? 1
Number of cycles: 41842703; error? 1
Number of cycles: 41842744; error? 1
Number of cycles: 41842604; error? 1
Number of cycles: 41842813; error? 1
Number of cycles: 41843077; error? 1
Number of cycles: 41842075; error? 1
Number of cycles: 41842832; error? 1
Number of cycles: 41842654; error? 1
Number of cycles: 41842730; error? 1
Number of cycles: 41842986; error? 1
Number of cycles: 41842614; error? 1
Number of cycles: 41842122; error? 1
Number of cycles: 41842737; error? 1
Number of cycles: 41842727; error? 1
Number of cycles: 41842486; error? 1
Number of cycles: 41842346; error? 1
Number of cycles: 41842626; error? 1
Number of cycles: 41841972; error? 1
Number of cycles: 41842393; error? 1
Number of cycles: 41843094; error? 1
Number of cycles: 41842507; error? 1
Number of cycles: 41842687; error? 1
Number of cycles: 41842775; error? 1
Number of cycles: 41842779; error? 1
Average: 41842700.000000
Standard deviation: 264.244751

Number of blocks: 3
Number of cycles: 42898582; error? 1
Number of cycles: 42899000; error? 1
Number of cycles: 42898861; error? 1
Number of cycles: 42898270; error? 1
Number of cycles: 42898434; error? 1
Number of cycles: 42898732; error? 1
Number of cycles: 42898925; error? 1
Number of cycles: 42898466; error? 1
Number of cycles: 42898998; error? 1
Number of cycles: 42898597; error? 1
Number of cycles: 42898588; error? 1
Number of cycles: 42898568; error? 1
Number of cycles: 42898511; error? 1
Number of cycles: 42898880; error? 1
Number of cycles: 42898687; error? 1
Number of cycles: 42898683; error? 1
Number of cycles: 42898468; error? 1
Number of cycles: 42898771; error? 1
Number of cycles: 42898642; error? 1
Number of cycles: 42898737; error? 1
Number of cycles: 42898633; error? 1
