Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 40658729; error? 1
Number of cycles: 40659177; error? 1
Number of cycles: 40658822; error? 1
Number of cycles: 40658945; error? 1
Number of cycles: 40659139; error? 1
Number of cycles: 40659533; error? 1
Number of cycles: 40659065; error? 1
Number of cycles: 40659205; error? 1
Number of cycles: 40659286; error? 1
Number of cycles: 40659009; error? 1
Number of cycles: 40658547; error? 1
Number of cycles: 40659168; error? 1
Number of cycles: 40658937; error? 1
Number of cycles: 40658830; error? 1
Number of cycles: 40658858; error? 1
Number of cycles: 40659085; error? 1
Number of cycles: 40658948; error? 1
Number of cycles: 40658581; error? 1
Number of cycles: 40659003; error? 1
Number of cycles: 40659224; error? 1
Number of cycles: 40658979; error? 1
Number of cycles: 40658586; error? 1
Number of cycles: 40658790; error? 1
Number of cycles: 40658976; error? 1
Number of cycles: 40658919; error? 1
Number of cycles: 40659273; error? 1
Number of cycles: 40658364; error? 1
Number of cycles: 40659435; error? 1
Number of cycles: 40659321; error? 1
Number of cycles: 40659701; error? 1
Average: 40659016.000000
Standard deviation: 292.738800

Number of blocks: 2
Number of cycles: 41532962; error? 1
Number of cycles: 41532739; error? 1
Number of cycles: 41532620; error? 1
Number of cycles: 41532974; error? 1
Number of cycles: 41532756; error? 1
Number of cycles: 41532838; error? 1
Number of cycles: 41532588; error? 1
Number of cycles: 41532714; error? 1
Number of cycles: 41533008; error? 1
Number of cycles: 41532404; error? 1
Number of cycles: 41533064; error? 1
Number of cycles: 41533214; error? 1
Number of cycles: 41532974; error? 1
Number of cycles: 41532668; error? 1
Number of cycles: 41533536; error? 1
Number of cycles: 41532897; error? 1
Number of cycles: 41532947; error? 1
Number of cycles: 41533098; error? 1
Number of cycles: 41533224; error? 1
Number of cycles: 41532837; error? 1
Number of cycles: 41533593; error? 1
Number of cycles: 41532648; error? 1
Number of cycles: 41533231; error? 1
Number of cycles: 41532765; error? 1
Number of cycles: 41532888; error? 1
Number of cycles: 41532819; error? 1
Number of cycles: 41533122; error? 1
Number of cycles: 41532738; error? 1
Number of cycles: 41533164; error? 1
Number of cycles: 41532737; error? 1
Average: 41532920.000000
Standard deviation: 264.555969

Number of blocks: 3
Number of cycles: 42407378; error? 1
Number of cycles: 42408025; error? 1
Number of cycles: 42407983; error? 1
Number of cycles: 42407374; error? 1
Number of cycles: 42408000; error? 1
Number of cycles: 42408402; error? 1
Number of cycles: 42407964; error? 1
Number of cycles: 42408322; error? 1
Number of cycles: 42407927; error? 1
Number of cycles: 42407115; error? 1
Number of cycles: 42407686; error? 1
Number of cycles: 42407854; error? 1
Number of cycles: 42407685; error? 1
Number of cycles: 42407791; error? 1
Number of cycles: 42407668; error? 1
Number of cycles: 42407811; error? 1
Number of cycles: 42407258; error? 1
Number of cycles: 42408188; error? 1
Number of cycles: 42407926; error? 1
Number of cycles: 42407477; error? 1
Number of cycles: 42407690; error? 1
Number of cycles: 42407825; error? 1
Number of cycles: 42407317; error? 1
Number of cycles: 42408130; error? 1
Number of cycles: 42408116; error? 1
Number of cycles: 42408523; error? 1
Number of cycles: 42407910; error? 1
Number of cycles: 42408116; error? 1
Number of cycles: 42407446; error? 1
Number of cycles: 42407942; error? 1
Average: 42407824.000000
Standard deviation: 339.221863

Number of blocks: 4
Number of cycles: 43352992; error? 1
Number of cycles: 43352815; error? 1
Number of cycles: 43352867; error? 1
Number of cycles: 43352872; error? 1
Number of cycles: 43352587; error? 1
Number of cycles: 43352466; error? 1
Number of cycles: 43352531; error? 1
Number of cycles: 43352448; error? 1
Number of cycles: 43352438; error? 1
Number of cycles: 43352568; error? 1
Number of cycles: 43352757; error? 1
Number of cycles: 43353186; error? 1
Number of cycles: 43353111; error? 1
Number of cycles: 43352749; error? 1
Number of cycles: 43352940; error? 1
Number of cycles: 43352631; error? 1
Number of cycles: 43352968; error? 1
Number of cycles: 43352670; error? 1
Number of cycles: 43352027; error? 1
Number of cycles: 43352632; error? 1
Number of cycles: 43353037; error? 1
Number of cycles: 43352801; error? 1
Number of cycles: 43351886; error? 1
Number of cycles: 43352487; error? 1
Number of cycles: 43352979; error? 1
Number of cycles: 43352621; error? 1
Number of cycles: 43352732; error? 1
Number of cycles: 43352996; error? 1
Number of cycles: 43353005; error? 1
Number of cycles: 43352842; error? 1
Average: 43352716.000000
Standard deviation: 288.773956

Number of blocks: 5
Number of cycles: 44219381; error? 1
Number of cycles: 44219753; error? 1
Number of cycles: 44219855; error? 1
Number of cycles: 44219567; error? 1
Number of cycles: 44219734; error? 1
Number of cycles: 44219963; error? 1
Number of cycles: 44219142; error? 1
Number of cycles: 44219664; error? 1
Number of cycles: 44219668; error? 1
Number of cycles: 44219706; error? 1
Number of cycles: 44219325; error? 1
Number of cycles: 44219005; error? 1
Number of cycles: 44220029; error? 1
Number of cycles: 44219337; error? 1
Number of cycles: 44219628; error? 1
Number of cycles: 44219906; error? 1
Number of cycles: 44219821; error? 1
Number of cycles: 44219436; error? 1
Number of cycles: 44219602; error? 1
Number of cycles: 44219612; error? 1
Number of cycles: 44219687; error? 1
Number of cycles: 44219521; error? 1
Number of cycles: 44219470; error? 1
Number of cycles: 44219893; error? 1
Number of cycles: 44219884; error? 1
Number of cycles: 44219928; error? 1
Number of cycles: 44219279; error? 1
Number of cycles: 44219732; error? 1
Number of cycles: 44219627; error? 1
Number of cycles: 44219684; error? 1
Average: 44219628.000000
Standard deviation: 243.436508

Number of blocks: 6
Number of cycles: 45097395; error? 1
Number of cycles: 45097935; error? 1
Number of cycles: 45097620; error? 1
Number of cycles: 45097539; error? 1
Number of cycles: 45097195; error? 1
Number of cycles: 45097680; error? 1
Number of cycles: 45097286; error? 1
Number of cycles: 45097260; error? 1
Number of cycles: 45097880; error? 1
Number of cycles: 45097524; error? 1
Number of cycles: 45096712; error? 1
Number of cycles: 45097070; error? 1
Number of cycles: 45097063; error? 1
Number of cycles: 45097340; error? 1
Number of cycles: 45096907; error? 1
Number of cycles: 45097397; error? 1
Number of cycles: 45097477; error? 1
Number of cycles: 45097128; error? 1
Number of cycles: 45097034; error? 1
Number of cycles: 45096967; error? 1
Number of cycles: 45098236; error? 1
Number of cycles: 45097568; error? 1
Number of cycles: 45097933; error? 1
Number of cycles: 45097680; error? 1
