Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start index: 0; End index: 9; Interval: 1; Number of blocks: 10; Threshold: 1; Measurements per faulty block: 30

Faulty block index: 0
Number of cycles: 49993113; error_corrected? 1
Number of cycles: 49992759; error_corrected? 1
Number of cycles: 49992771; error_corrected? 1
Number of cycles: 49993244; error_corrected? 1
Number of cycles: 49993020; error_corrected? 1
Number of cycles: 49992978; error_corrected? 1
Number of cycles: 49992368; error_corrected? 1
Number of cycles: 49993629; error_corrected? 1
Number of cycles: 49992944; error_corrected? 1
Number of cycles: 49992811; error_corrected? 1
Number of cycles: 49992742; error_corrected? 1
Number of cycles: 49992945; error_corrected? 1
Number of cycles: 49993372; error_corrected? 1
Number of cycles: 49992914; error_corrected? 1
Number of cycles: 49993191; error_corrected? 1
Number of cycles: 49993516; error_corrected? 1
Number of cycles: 49992956; error_corrected? 1
Number of cycles: 49992771; error_corrected? 1
Number of cycles: 49992700; error_corrected? 1
Number of cycles: 49992809; error_corrected? 1
Number of cycles: 49993446; error_corrected? 1
Number of cycles: 49993203; error_corrected? 1
Number of cycles: 49994504; error_corrected? 1
Number of cycles: 49992420; error_corrected? 1
Number of cycles: 49992520; error_corrected? 1
Number of cycles: 49992775; error_corrected? 1
Number of cycles: 49993353; error_corrected? 1
Number of cycles: 49993407; error_corrected? 1
Number of cycles: 49993162; error_corrected? 1
Number of cycles: 49993053; error_corrected? 1
Average: 49993060.000000
Standard deviation: 412.071838

Faulty block index: 1
Number of cycles: 49821877; error_corrected? 1
Number of cycles: 49821701; error_corrected? 1
Number of cycles: 49821112; error_corrected? 1
Number of cycles: 49821465; error_corrected? 1
Number of cycles: 49821306; error_corrected? 1
Number of cycles: 49821284; error_corrected? 1
Number of cycles: 49821850; error_corrected? 1
Number of cycles: 49821580; error_corrected? 1
Number of cycles: 49822276; error_corrected? 1
Number of cycles: 49821554; error_corrected? 1
Number of cycles: 49821606; error_corrected? 1
Number of cycles: 49821643; error_corrected? 1
Number of cycles: 49821534; error_corrected? 1
Number of cycles: 49821337; error_corrected? 1
Number of cycles: 49821567; error_corrected? 1
Number of cycles: 49822339; error_corrected? 1
Number of cycles: 49821265; error_corrected? 1
Number of cycles: 49820869; error_corrected? 1
Number of cycles: 49821498; error_corrected? 1
Number of cycles: 49821597; error_corrected? 1
Number of cycles: 49821721; error_corrected? 1
Number of cycles: 49821735; error_corrected? 1
Number of cycles: 49821134; error_corrected? 1
Number of cycles: 49821290; error_corrected? 1
Number of cycles: 49821126; error_corrected? 1
Number of cycles: 49821264; error_corrected? 1
Number of cycles: 49821073; error_corrected? 1
Number of cycles: 49821695; error_corrected? 1
Number of cycles: 49821473; error_corrected? 1
Number of cycles: 49821455; error_corrected? 1
Average: 49821508.000000
Standard deviation: 320.633545

Faulty block index: 2
Number of cycles: 49850433; error_corrected? 1
Number of cycles: 49849701; error_corrected? 1
Number of cycles: 49850813; error_corrected? 1
Number of cycles: 49850412; error_corrected? 1
Number of cycles: 49849986; error_corrected? 1
Number of cycles: 49850658; error_corrected? 1
Number of cycles: 49850477; error_corrected? 1
Number of cycles: 49850656; error_corrected? 1
Number of cycles: 49850192; error_corrected? 1
Number of cycles: 49849796; error_corrected? 1
Number of cycles: 49851003; error_corrected? 1
Number of cycles: 49850598; error_corrected? 1
Number of cycles: 49850616; error_corrected? 1
Number of cycles: 49849357; error_corrected? 1
Number of cycles: 49849563; error_corrected? 1
Number of cycles: 49849971; error_corrected? 1
Number of cycles: 49850549; error_corrected? 1
Number of cycles: 49850488; error_corrected? 1
Number of cycles: 49850047; error_corrected? 1
Number of cycles: 49849775; error_corrected? 1
Number of cycles: 49850499; error_corrected? 1
Number of cycles: 49850072; error_corrected? 1
Number of cycles: 49850389; error_corrected? 1
Number of cycles: 49850548; error_corrected? 1
Number of cycles: 49850498; error_corrected? 1
Number of cycles: 49850187; error_corrected? 1
Number of cycles: 49850074; error_corrected? 1
Number of cycles: 49850493; error_corrected? 1
Number of cycles: 49849516; error_corrected? 1
Number of cycles: 49850905; error_corrected? 1
Average: 49850276.000000
Standard deviation: 417.347809

Faulty block index: 3
Number of cycles: 50069530; error_corrected? 1
Number of cycles: 50069594; error_corrected? 1
Number of cycles: 50069422; error_corrected? 1
Number of cycles: 50069242; error_corrected? 1
Number of cycles: 50069154; error_corrected? 1
Number of cycles: 50069410; error_corrected? 1
Number of cycles: 50070393; error_corrected? 1
Number of cycles: 50069376; error_corrected? 1
Number of cycles: 50069404; error_corrected? 1
Number of cycles: 50069799; error_corrected? 1
Number of cycles: 50070161; error_corrected? 1
Number of cycles: 50069446; error_corrected? 1
Number of cycles: 50069978; error_corrected? 1
Number of cycles: 50069735; error_corrected? 1
Number of cycles: 50069101; error_corrected? 1
Number of cycles: 50070446; error_corrected? 1
Number of cycles: 50069183; error_corrected? 1
Number of cycles: 50070126; error_corrected? 1
