Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Number of blocks: 4; Measurements per threshold: 30

Threshold: 1
Number of cycles: 43115697; error_corrected? 1
Number of cycles: 43115789; error_corrected? 1
Number of cycles: 43115201; error_corrected? 1
Number of cycles: 43115611; error_corrected? 1
Number of cycles: 43115703; error_corrected? 1
Number of cycles: 43115515; error_corrected? 1
Number of cycles: 43115392; error_corrected? 1
Number of cycles: 43115240; error_corrected? 1
Number of cycles: 43115487; error_corrected? 1
Number of cycles: 43115751; error_corrected? 1
Number of cycles: 43115408; error_corrected? 1
Number of cycles: 43115362; error_corrected? 1
Number of cycles: 43115635; error_corrected? 1
Number of cycles: 43115582; error_corrected? 1
Number of cycles: 43115259; error_corrected? 1
Number of cycles: 43115839; error_corrected? 1
Number of cycles: 43115598; error_corrected? 1
Number of cycles: 43115459; error_corrected? 1
Number of cycles: 43115669; error_corrected? 1
Number of cycles: 43115993; error_corrected? 1
Number of cycles: 43115489; error_corrected? 1
Number of cycles: 43115199; error_corrected? 1
Number of cycles: 43115608; error_corrected? 1
Number of cycles: 43115307; error_corrected? 1
Number of cycles: 43115045; error_corrected? 1
Number of cycles: 43115492; error_corrected? 1
Number of cycles: 43115735; error_corrected? 1
Number of cycles: 43115588; error_corrected? 1
Number of cycles: 43115717; error_corrected? 1
Number of cycles: 43115810; error_corrected? 1
Average: 43115540.000000
Standard deviation: 217.738678

Threshold: 2
Number of cycles: 42439842; error_corrected? 1
Number of cycles: 42440404; error_corrected? 1
Number of cycles: 42440399; error_corrected? 1
Number of cycles: 42440421; error_corrected? 1
Number of cycles: 42439412; error_corrected? 1
Number of cycles: 42440868; error_corrected? 1
Number of cycles: 42440031; error_corrected? 1
Number of cycles: 42440408; error_corrected? 1
Number of cycles: 42440592; error_corrected? 1
Number of cycles: 42440290; error_corrected? 1
Number of cycles: 42439963; error_corrected? 1
Number of cycles: 42440495; error_corrected? 1
Number of cycles: 42440590; error_corrected? 1
Number of cycles: 42440624; error_corrected? 1
Number of cycles: 42440170; error_corrected? 1
Number of cycles: 42439546; error_corrected? 1
Number of cycles: 42440438; error_corrected? 1
Number of cycles: 42440632; error_corrected? 1
Number of cycles: 42440486; error_corrected? 1
Number of cycles: 42440618; error_corrected? 1
Number of cycles: 42439596; error_corrected? 1
Number of cycles: 42440448; error_corrected? 1
Number of cycles: 42440451; error_corrected? 1
Number of cycles: 42440633; error_corrected? 1
Number of cycles: 42440736; error_corrected? 1
Number of cycles: 42439945; error_corrected? 1
Number of cycles: 42440120; error_corrected? 1
Number of cycles: 42440161; error_corrected? 1
Number of cycles: 42440310; error_corrected? 1
Number of cycles: 42440323; error_corrected? 1
Average: 42440304.000000
Standard deviation: 353.255341

Threshold: 3
Number of cycles: 43112608; error_corrected? 1
Number of cycles: 43113012; error_corrected? 1
Number of cycles: 43113285; error_corrected? 1
Number of cycles: 43112761; error_corrected? 1
Number of cycles: 43112455; error_corrected? 1
Number of cycles: 43113139; error_corrected? 1
Number of cycles: 43113102; error_corrected? 1
Number of cycles: 43112841; error_corrected? 1
Number of cycles: 43112716; error_corrected? 1
Number of cycles: 43112631; error_corrected? 1
Number of cycles: 43112593; error_corrected? 1
Number of cycles: 43113021; error_corrected? 1
Number of cycles: 43113023; error_corrected? 1
Number of cycles: 43113028; error_corrected? 1
Number of cycles: 43112864; error_corrected? 1
Number of cycles: 43113141; error_corrected? 1
Number of cycles: 43112414; error_corrected? 1
Number of cycles: 43113246; error_corrected? 1
Number of cycles: 43113181; error_corrected? 1
Number of cycles: 43112978; error_corrected? 1
Number of cycles: 43112733; error_corrected? 1
Number of cycles: 43112686; error_corrected? 1
Number of cycles: 43113499; error_corrected? 1
Number of cycles: 43112894; error_corrected? 1
Number of cycles: 43113254; error_corrected? 1
