Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Number of blocks: 4; Measurements per threshold: 30

Threshold: 1
Number of cycles: 43352706; error_corrected? 1
Number of cycles: 43352699; error_corrected? 1
Number of cycles: 43353009; error_corrected? 1
Number of cycles: 43352841; error_corrected? 1
Number of cycles: 43352670; error_corrected? 1
Number of cycles: 43352633; error_corrected? 1
Number of cycles: 43352879; error_corrected? 1
Number of cycles: 43352926; error_corrected? 1
Number of cycles: 43352935; error_corrected? 1
Number of cycles: 43352319; error_corrected? 1
Number of cycles: 43352241; error_corrected? 1
Number of cycles: 43353064; error_corrected? 1
Number of cycles: 43352723; error_corrected? 1
Number of cycles: 43352484; error_corrected? 1
Number of cycles: 43352695; error_corrected? 1
Number of cycles: 43353052; error_corrected? 1
Number of cycles: 43352374; error_corrected? 1
Number of cycles: 43352912; error_corrected? 1
Number of cycles: 43352940; error_corrected? 1
Number of cycles: 43352768; error_corrected? 1
Number of cycles: 43352654; error_corrected? 1
Number of cycles: 43352988; error_corrected? 1
Number of cycles: 43352746; error_corrected? 1
Number of cycles: 43352810; error_corrected? 1
Number of cycles: 43352712; error_corrected? 1
Number of cycles: 43352666; error_corrected? 1
Number of cycles: 43352687; error_corrected? 1
Number of cycles: 43352900; error_corrected? 1
Number of cycles: 43352941; error_corrected? 1
Number of cycles: 43352673; error_corrected? 1
Average: 43352764.000000
Standard deviation: 203.481689

Threshold: 2
Number of cycles: 43357468; error_corrected? 1
Number of cycles: 43357551; error_corrected? 1
Number of cycles: 43357306; error_corrected? 1
Number of cycles: 43357408; error_corrected? 1
Number of cycles: 43357340; error_corrected? 1
Number of cycles: 43357404; error_corrected? 1
Number of cycles: 43357200; error_corrected? 1
Number of cycles: 43357080; error_corrected? 1
Number of cycles: 43357183; error_corrected? 1
Number of cycles: 43356735; error_corrected? 1
Number of cycles: 43357693; error_corrected? 1
Number of cycles: 43357269; error_corrected? 1
Number of cycles: 43357879; error_corrected? 1
Number of cycles: 43356941; error_corrected? 1
Number of cycles: 43356940; error_corrected? 1
Number of cycles: 43357718; error_corrected? 1
Number of cycles: 43357484; error_corrected? 1
Number of cycles: 43357312; error_corrected? 1
Number of cycles: 43357515; error_corrected? 1
Number of cycles: 43357084; error_corrected? 1
Number of cycles: 43357316; error_corrected? 1
Number of cycles: 43357713; error_corrected? 1
Number of cycles: 43357318; error_corrected? 1
Number of cycles: 43357015; error_corrected? 1
Number of cycles: 43357299; error_corrected? 1
Number of cycles: 43356962; error_corrected? 1
Number of cycles: 43357525; error_corrected? 1
Number of cycles: 43357266; error_corrected? 1
Number of cycles: 43357586; error_corrected? 1
Number of cycles: 43357340; error_corrected? 1
Average: 43357324.000000
Standard deviation: 260.559418

Threshold: 3
Number of cycles: 43366013; error_corrected? 1
Number of cycles: 43365795; error_corrected? 1
Number of cycles: 43365756; error_corrected? 1
Number of cycles: 43365444; error_corrected? 1
Number of cycles: 43365697; error_corrected? 1
Number of cycles: 43365876; error_corrected? 1
Number of cycles: 43366044; error_corrected? 1
Number of cycles: 43366177; error_corrected? 1
Number of cycles: 43366500; error_corrected? 1
Number of cycles: 43365761; error_corrected? 1
Number of cycles: 43365816; error_corrected? 1
Number of cycles: 43365775; error_corrected? 1
Number of cycles: 43365872; error_corrected? 1
Number of cycles: 43365606; error_corrected? 1
Number of cycles: 43365652; error_corrected? 1
Number of cycles: 43365513; error_corrected? 1
Number of cycles: 43366058; error_corrected? 1
Number of cycles: 43365758; error_corrected? 1
Number of cycles: 43366239; error_corrected? 1
Number of cycles: 43365896; error_corrected? 1
Number of cycles: 43366055; error_corrected? 1
Number of cycles: 43365968; error_corrected? 1
Number of cycles: 43365657; error_corrected? 1
Number of cycles: 43365670; error_corrected? 1
Number of cycles: 43365738; error_corrected? 1
Number of cycles: 43366063; error_corrected? 1
Number of cycles: 43365662; error_corrected? 1
Number of cycles: 43365616; error_corrected? 1
Number of cycles: 43365996; error_corrected? 1
Number of cycles: 43365706; error_corrected? 1
Average: 43365844.000000
Standard deviation: 226.694504

Threshold: 4
Number of cycles: 43368034; error_corrected? 1
Number of cycles: 43367962; error_corrected? 1
Number of cycles: 43368397; error_corrected? 1
Number of cycles: 43368027; error_corrected? 1
Number of cycles: 43367735; error_corrected? 1
Number of cycles: 43368618; error_corrected? 1
Number of cycles: 43368193; error_corrected? 1
Number of cycles: 43367551; error_corrected? 1
Number of cycles: 43368166; error_corrected? 1
Number of cycles: 43367759; error_corrected? 1
Number of cycles: 43367939; error_corrected? 1
Number of cycles: 43367967; error_corrected? 1
Number of cycles: 43367844; error_corrected? 1
Number of cycles: 43368050; error_corrected? 1
Number of cycles: 43367992; error_corrected? 1
Number of cycles: 43368236; error_corrected? 1
Number of cycles: 43368062; error_corrected? 1
Number of cycles: 43367700; error_corrected? 1
Number of cycles: 43368120; error_corrected? 1
Number of cycles: 43367924; error_corrected? 1
Number of cycles: 43368117; error_corrected? 1
Number of cycles: 43368284; error_corrected? 1
Number of cycles: 43368078; error_corrected? 1
Number of cycles: 43368527; error_corrected? 1
Number of cycles: 43368145; error_corrected? 1
Number of cycles: 43368319; error_corrected? 1
Number of cycles: 43368308; error_corrected? 1
