Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Number of blocks: 4; Measurements per threshold: 30

Threshold: 1
Number of cycles: 44030329; error_corrected? 0
Number of cycles: 44030646; error_corrected? 0
Number of cycles: 44030537; error_corrected? 0
Number of cycles: 44030429; error_corrected? 0
Number of cycles: 44030417; error_corrected? 0
Number of cycles: 44030904; error_corrected? 0
Number of cycles: 44030645; error_corrected? 0
Number of cycles: 44030644; error_corrected? 0
Number of cycles: 44031001; error_corrected? 0
Number of cycles: 44030857; error_corrected? 0
Number of cycles: 44030134; error_corrected? 0
Number of cycles: 44030527; error_corrected? 0
Number of cycles: 44030688; error_corrected? 0
Number of cycles: 44030342; error_corrected? 0
Number of cycles: 44030512; error_corrected? 0
Number of cycles: 44031182; error_corrected? 0
Number of cycles: 44030750; error_corrected? 0
Number of cycles: 44030622; error_corrected? 0
Number of cycles: 44030516; error_corrected? 0
Number of cycles: 44030936; error_corrected? 0
Number of cycles: 44030383; error_corrected? 0
Number of cycles: 44030706; error_corrected? 0
Number of cycles: 44030452; error_corrected? 0
Number of cycles: 44030610; error_corrected? 0
Number of cycles: 44030077; error_corrected? 0
Number of cycles: 44030961; error_corrected? 0
Number of cycles: 44030337; error_corrected? 0
Number of cycles: 44030714; error_corrected? 0
Number of cycles: 44030644; error_corrected? 0
Number of cycles: 44030677; error_corrected? 0
Average: 44030604.000000
Standard deviation: 246.609009

Threshold: 2
Number of cycles: 44066673; error_corrected? 0
Number of cycles: 44067097; error_corrected? 0
Number of cycles: 44066668; error_corrected? 0
Number of cycles: 44067264; error_corrected? 0
Number of cycles: 44066685; error_corrected? 0
Number of cycles: 44066879; error_corrected? 0
Number of cycles: 44067036; error_corrected? 0
Number of cycles: 44067221; error_corrected? 0
Number of cycles: 44066828; error_corrected? 0
Number of cycles: 44067123; error_corrected? 0
Number of cycles: 44066527; error_corrected? 0
Number of cycles: 44067192; error_corrected? 0
Number of cycles: 44067377; error_corrected? 0
Number of cycles: 44066718; error_corrected? 0
Number of cycles: 44066961; error_corrected? 0
Number of cycles: 44066303; error_corrected? 0
Number of cycles: 44067006; error_corrected? 0
Number of cycles: 44067073; error_corrected? 0
Number of cycles: 44067016; error_corrected? 0
Number of cycles: 44067395; error_corrected? 0
Number of cycles: 44066905; error_corrected? 0
Number of cycles: 44067223; error_corrected? 0
Number of cycles: 44066831; error_corrected? 0
Number of cycles: 44066975; error_corrected? 0
Number of cycles: 44066628; error_corrected? 0
Number of cycles: 44067211; error_corrected? 0
Number of cycles: 44066410; error_corrected? 0
Number of cycles: 44066538; error_corrected? 0
Number of cycles: 44066723; error_corrected? 0
Number of cycles: 44066759; error_corrected? 0
Average: 44066908.000000
Standard deviation: 280.000000

Threshold: 3
Number of cycles: 44026140; error_corrected? 0
Number of cycles: 44025583; error_corrected? 0
Number of cycles: 44025796; error_corrected? 0
Number of cycles: 44025608; error_corrected? 0
Number of cycles: 44025577; error_corrected? 0
Number of cycles: 44025402; error_corrected? 0
Number of cycles: 44025801; error_corrected? 0
Number of cycles: 44025646; error_corrected? 0
Number of cycles: 44025438; error_corrected? 0
Number of cycles: 44025792; error_corrected? 0
Number of cycles: 44026076; error_corrected? 0
Number of cycles: 44025958; error_corrected? 0
Number of cycles: 44026312; error_corrected? 0
Number of cycles: 44025701; error_corrected? 0
Number of cycles: 44026147; error_corrected? 0
Number of cycles: 44025451; error_corrected? 0
Number of cycles: 44025654; error_corrected? 0
Number of cycles: 44025625; error_corrected? 0
Number of cycles: 44026168; error_corrected? 0
Number of cycles: 44026205; error_corrected? 0
Number of cycles: 44025961; error_corrected? 0
Number of cycles: 44025837; error_corrected? 0
Number of cycles: 44025385; error_corrected? 0
Number of cycles: 44025747; error_corrected? 0
Number of cycles: 44025377; error_corrected? 0
Number of cycles: 44025423; error_corrected? 0
Number of cycles: 44025513; error_corrected? 0
Number of cycles: 44025636; error_corrected? 0
Number of cycles: 44025661; error_corrected? 0
Number of cycles: 44025840; error_corrected? 0
Average: 44025748.000000
Standard deviation: 264.850159

Threshold: 4
Number of cycles: 43371804; error_corrected? 1
Number of cycles: 43372628; error_corrected? 1
Number of cycles: 43371770; error_corrected? 1
Number of cycles: 43372048; error_corrected? 1
Number of cycles: 43372640; error_corrected? 1
Number of cycles: 43372153; error_corrected? 1
Number of cycles: 43372375; error_corrected? 1
Number of cycles: 43372164; error_corrected? 1
Number of cycles: 43371851; error_corrected? 1
Number of cycles: 43372059; error_corrected? 1
